PDCD1
CTLA4
NFATC1
SPRY2
BATF
VHL
FOXO1
FOXP1
LAG3
CD244
CD160
HAVCR2
TRAF1
TNFRSF9
IL10RA
IL10
PRDM1
STAT3
IFNA1
IFNB1
IL21
CXCR5
SOCS3
CD44
LY6D
KLRG1
B3GAT1
IL7R
IL2RB
